latitude,longitude,altitude,x,y,z
46.340287122033224,3.4351647867515007,280.01100785096247,95.6057,125.406,0.829058
46.340240642444925,3.4349877404576037,280.12071979699596,81.9749,120.239,0.939059
46.34037282807195,3.43484671875886,280.3411950743435,71.1174,134.933,1.15937
46.34044989297271,3.4357793791071587,279.6713770309677,142.923,143.501,0.488162
46.34044219391795,3.434945979286434,280.35128272878603,78.7594,142.644,1.1692
46.34028752353993,3.4343914049148077,280.53102722884285,36.0627,125.45,1.34969
46.340192601245406,3.4353236132073928,279.8055043094225,107.834,114.899,0.623558
46.34021222583784,3.435640379997548,279.49907516984985,132.222,117.081,0.316631
46.34044643297009,3.4361022513739816,279.24524676884676,167.781,143.117,0.061436
46.340669004559835,3.436240992641941,279.4649411777301,178.462,167.859,0.280237
46.34076356375313,3.4360157457406966,279.9426350401294,161.12,178.37,0.758106
46.340838271121676,3.4356391914126236,280.3623817444717,132.129,186.674,1.17828
46.340659948259535,3.4355690857888574,280.18065327548055,126.732,166.851,0.997211
46.340621268461355,3.435408323403821,280.24939758354014,114.355,162.551,1.0663
46.34050842759567,3.4351944708451625,280.25401634322185,97.8907,150.007,1.0715
